common_name,scientific_name,ebird_species_code
Gilded Flicker,Colaptes chrysoides,gilfli
Glaucidium sp.,Glaucidium sp.,glauci1
Glaucous Gull,Larus hyperboreus,glagul
Glaucous-winged Gull,Larus glaucescens,glwgul
Glossy Ibis,Plegadis falcinellus,gloibi
gnatcatcher sp.,Polioptila sp.,gnatca1
godwit sp.,Limosa sp.,godwit1
Golden-cheeked Warbler,Setophaga chrysoparia,gchwar
Golden-crowned Kinglet,Regulus satrapa,gockin
Golden-crowned Sparrow,Zonotrichia atricapilla,gocspa
Golden-crowned Warbler,Basileuterus culicivorus,gcrwar
Golden Eagle,Aquila chrysaetos,goleag
Golden-fronted Woodpecker,Melanerpes aurifrons,gofwoo
Golden Pheasant,Chrysolophus pictus,golphe
golden-plover sp.,Pluvialis apricaria/dominica/fulva,golplo
Golden-winged Warbler,Vermivora chrysoptera,gowwar
goose sp.,Anser/Branta sp.,goose1
Grace's Warbler,Setophaga graciae,grawar
grackle sp.,Quiscalus sp.,grackl
Grasshopper Sparrow,Ammodramus savannarum,graspa
Gray-backed Tern,Onychoprion lunatus,gybter1
Gray-breasted Martin,Progne chalybea,gybmar
Gray Bunting,Emberiza variabilis,grybun
Gray Catbird,Dumetella carolinensis,grycat
Gray-cheeked Thrush,Catharus minimus,gycthr
Gray-collared Becard,Pachyramphus major,grcbec1
Gray Crowned-Crane,Balearica regulorum,grccra1
Gray-crowned Rosy-Finch,Leucosticte tephrocotis,gcrfin
Gray-crowned Yellowthroat,Geothlypis poliocephala,gycyel
Gray-faced Petrel,Pterodroma gouldi,grwpet2
Gray Flycatcher,Empidonax wrightii,gryfly
Gray Francolin,Francolinus pondicerianus,gryfra
Gray Hawk,Buteo plagiatus,gryhaw2
Gray-headed Chickadee,Poecile cinctus,gyhchi
Gray-headed Swamphen,Porphyrio poliocephalus,purswa3
Gray Heron,Ardea cinerea,graher1
Gray-hooded Gull,Chroicocephalus cirrocephalus,grhgul
Gray Kingbird,Tyrannus dominicensis,grykin
Graylag Goose,Anser anser,gragoo
Gray Nightjar,Caprimulgus jotaka,grynig1
Gray Partridge,Perdix perdix,grypar
Gray Silky-flycatcher,Ptiliogonys cinereus,grsfly1
Gray-streaked Flycatcher,Muscicapa griseisticta,gysfly1
Gray-tailed Tattler,Tringa brevipes,gyttat1
Gray Vireo,Vireo vicinior,gryvir
Gray Wagtail,Motacilla cinerea,grywag
Great Bittern,Botaurus stellaris,grebit1
Great Black-backed Gull,Larus marinus,gbbgul
Great Black Hawk,Buteogallus urubitinga,grbhaw1
Great Blue Heron,Ardea herodias,grbher3
Great Cormorant,Phalacrocorax carbo,grecor
Great Crested Flycatcher,Myiarchus crinitus,grcfly
Great Crested Tern,Thalasseus bergii,grcter1
Great Egret,Ardea alba,greegr
Greater Flamingo,Phoenicopterus roseus,grefla3
Greater Necklaced Laughingthrush,Ianthocincla pectoralis,gnlthr
Greater Pewee,Contopus pertinax,grepew
Greater Prairie-Chicken,Tympanuchus cupido,grpchi
Greater Roadrunner,Geococcyx californianus,greroa
Greater Sage-Grouse,Centrocercus urophasianus,saggro
Greater Sand-Plover,Charadrius leschenaultii,grsplo
Greater Scaup,Aythya marila,gresca
Greater White-fronted Goose,Anser albifrons,gwfgoo
Greater Yellowlegs,Tringa melanoleuca,greyel
Great Frigatebird,Fregata minor,grefri
Great Gray Owl,Strix nebulosa,grgowl
Great Horned Owl,Bubo virginianus,grhowl
Great Kiskadee,Pitangus sulphuratus,grekis
Great Knot,Calidris tenuirostris,grekno
Great Shearwater,Ardenna gravis,greshe
Great Skua,Stercorarius skua,gresku1
Great Spotted Woodpecker,Dendrocopos major,grswoo
Great-tailed Grackle,Quiscalus mexicanus,grtgra
Great Tit,Parus major,gretit1
Great White Pelican,Pelecanus onocrotalus,grwpel1
grebe sp.,Podicipedidae sp.,grebe1
Green-breasted Mango,Anthracothorax prevostii,gnbman
Green Heron,Butorides virescens,grnher
Greenish Elaenia,Myiopagis viridicata,greela
Green Jay,Cyanocorax yncas,grnjay
Green Kingfisher,Chloroceryle americana,grnkin
Green Parakeet,Psittacara holochlorus,grnpar
Green Sandpiper,Tringa ochropus,grnsan
Green-tailed Towhee,Pipilo chlorurus,gnttow
Green-winged Teal,Anas crecca,gnwtea
Groove-billed Ani,Crotophaga sulcirostris,grbani
grouse sp.,Tetraoninae sp.,grouse1
Guadalupe Murrelet,Synthliboramphus hypoleucus,xanmur1
Gull-billed Tern,Gelochelidon nilotica,gubter1
gull sp.,Larinae sp.,larus
Gunnison Sage-Grouse,Centrocercus minimus,gusgro
Gyrfalcon,Falco rusticolus,gyrfal
Haemorhous sp.,Haemorhous sp.,haemor1
Hairy Woodpecker,Dryobates villosus,haiwoo
Hammond's Flycatcher,Empidonax hammondii,hamfly
Harlequin Duck,Histrionicus histrionicus,harduc
harrier sp.,Circus sp.,harrie1
Harris's Hawk,Parabuteo unicinctus,hrshaw
Harris's Sparrow,Zonotrichia querula,harspa
Hawaii Akepa,Loxops coccineus,akepa1
Hawaii Amakihi,Chlorodrepanis virens,hawama
Hawaiian Coot,Fulica alai,hawcoo
Hawaiian Crow,Corvus hawaiiensis,hawcro
Hawaiian Duck,Anas wyvilliana,hawduc
Hawaiian Goose,Branta sandvicensis,hawgoo
Hawaiian Hawk,Buteo solitarius,hawhaw
hawaiian honeycreeper sp.,Drepanidinae sp.,hawhon1
Hawaiian Petrel,Pterodroma sandwichensis,hawpet1
Hawaii Creeper,Loxops mana,hawcre
Hawaii Elepaio,Chasiempis sandwichensis,elepai
Hawfinch,Coccothraustes coccothraustes,hawfin
hawk sp.,Accipitridae sp. (hawk sp.),hawk
Heermann's Gull,Larus heermanni,heegul
Helmeted Guineafowl,Numida meleagris,helgui
Hen Harrier,Circus cyaneus,norhar1
Henslow's Sparrow,Centronyx henslowii,henspa
Hepatic Tanager,Piranga flava,heptan
Herald Petrel,Pterodroma heraldica,herpet2
Hermit Thrush,Catharus guttatus,herthr
Hermit Warbler,Setophaga occidentalis,herwar
heron sp.,Ardeidae sp.,heron1
Herring Gull,Larus argentatus,hergul
Himalayan Snowcock,Tetraogallus himalayensis,himsno
Hoary Redpoll,Acanthis hornemanni,hoared
Hooded Crane,Grus monacha,hoocra1
Hooded Merganser,Lophodytes cucullatus,hoomer
Hooded Oriole,Icterus cucullatus,hooori
Hooded Warbler,Setophaga citrina,hoowar
Hook-billed Kite,Chondrohierax uncinatus,hobkit
Horned Grebe,Podiceps auritus,horgre
Horned Lark,Eremophila alpestris,horlar
Horned Puffin,Fratercula corniculata,horpuf
House Crow,Corvus splendens,houcro1
House Finch,Haemorhous mexicanus,houfin
House Sparrow,Passer domesticus,houspa
House Wren,Troglodytes aedon,houwre
Hudsonian Godwit,Limosa haemastica,hudgod
hummingbird sp.,Trochilidae sp.,hummin
Hutton's Vireo,Vireo huttoni,hutvir
ibis sp.,Threskiornithidae sp. (ibis sp.),ibis1
Iceland Gull,Larus glaucoides,y00478
Iiwi,Drepanis coccinea,iiwi
Inca Dove,Columbina inca,incdov
Indian Peafowl,Pavo cristatus,compea
Indian White-eye,Zosterops palpebrosus,indwhe1
Indigo Bunting,Passerina cyanea,indbun
Intermediate Egret,Ardea intermedia,integr
Island Scrub-Jay,Aphelocoma insularis,issjay
Ivory Gull,Pagophila eburnea,ivogul
Jabiru,Jabiru mycteria,jabiru
Jack Snipe,Lymnocryptes minimus,jacsni
jaeger sp.,Stercorarius sp. (jaeger sp.),jaeger
Japanese Bush Warbler,Horornis diphone,jabwar
Japanese Quail,Coturnix japonica,japqua
Java Sparrow,Lonchura oryzivora,javspa
jay sp.,Corvidae sp. (jay sp.),jay1
Jouanin's Petrel,Bulweria fallax,joupet
Juan Fernandez Petrel,Pterodroma externa,jufpet
Juniper Titmouse,Baeolophus ridgwayi,juntit1
Kalij Pheasant,Lophura leucomelanos,kalphe
Kamchatka Leaf Warbler,Phylloscopus examinandus,arcwar2
Kauai Amakihi,Chlorodrepanis stejnegeri,kauama
Kauai Elepaio,Chasiempis sclateri,elepai5
Kelp Gull,Larus dominicanus,kelgul
Kentucky Warbler,Geothlypis formosa,kenwar
Kermadec Petrel,Pterodroma neglecta,kerpet
Key West Quail-Dove,Geotrygon chrysia,kwqdov
Killdeer,Charadrius vociferus,killde
King Eider,Somateria spectabilis,kineid
kingfisher sp.,Alcedinidae sp.,kingfi1
kinglet sp.,Regulus sp.,kingle
King Rail,Rallus elegans,kinrai4
Kirtland's Warbler,Setophaga kirtlandii,kirwar
Kittlitz's Murrelet,Brachyramphus brevirostris,kitmur
Ladder-backed Woodpecker,Dryobates scalaris,labwoo
Lanceolated Warbler,Locustella lanceolata,lanwar
Lapland Longspur,Calcarius lapponicus,laplon
large albatross sp.,Diomedea sp.,laralb1
large alcid sp.,Uria/Alca sp.,laralc1
Large-billed Tern,Phaetusa simplex,labter1
large falcon sp.,Falco sp. (large falcon sp.),larfal
large parakeet sp. (former Aratinga sp.),Eupsittula/Aratinga/Thectocercus/Psittacara sp.,aratin
large rail sp.,Rallus sp. (large Rallus sp.),larrai1
large shorebird sp.,Scolopacidae sp. (large shorebird sp.),larsho1
large swift sp.,Apodidae sp. (large swift sp.),larswi1
large tern sp.,Hydroprogne/Thalasseus sp.,larter1
Lark Bunting,Calamospiza melanocorys,larbun
Lark Sparrow,Chondestes grammacus,larspa
Larus sp.,Larus sp.,larus1
La Sagra's Flycatcher,Myiarchus sagrae,lasfly
Laughing Gull,Leucophaeus atricilla,laugul
laughingthrush sp.,Garrulax/Ianthocincla/Trochalopteron/Montecincla sp.,laughi1
Lavender Waxbill,Estrilda coerulescens,lavwax
Lawrence's Goldfinch,Spinus lawrencei,lawgol
Laysan Albatross,Phoebastria immutabilis,layalb
Laysan Duck,Anas laysanensis,layduc
Laysan Finch,Telespiza cantans,layfin
Lazuli Bunting,Passerina amoena,lazbun
Leach's Storm-Petrel,Oceanodroma leucorhoa,lcspet
Least Auklet,Aethia pusilla,leaauk
Least Bittern,Ixobrychus exilis,leabit
Least Flycatcher,Empidonax minimus,leafly
Least Grebe,Tachybaptus dominicus,leagre
Least Sandpiper,Calidris minutilla,leasan
Least Storm-Petrel,Oceanodroma microsoma,lsspet
Least Tern,Sternula antillarum,leater1
LeConte's Sparrow,Ammospiza leconteii,lecspa
LeConte's Thrasher,Toxostoma lecontei,lecthr
Leiothlypis sp.,Leiothlypis sp.,vermiv1
Lesser Black-backed Gull,Larus fuscus,lbbgul
Lesser Frigatebird,Fregata ariel,lesfri
Lesser Goldfinch,Spinus psaltria,lesgol
Lesser Nighthawk,Chordeiles acutipennis,lesnig
Lesser Prairie-Chicken,Tympanuchus pallidicinctus,lepchi
Lesser Sand-Plover,Charadrius mongolus,lesplo
Lesser Scaup,Aythya affinis,lessca
Lesser White-fronted Goose,Anser erythropus,lwfgoo
Lesser Whitethroat,Sylvia curruca,leswhi4
Lesser Yellowlegs,Tringa flavipes,lesyel
Lewis's Woodpecker,Melanerpes lewis,lewwoo
Light-mantled Albatross,Phoebetria palpebrata,limalb1
Lilac-crowned Parrot,Amazona finschi,licpar
Limpkin,Aramus guarauna,limpki
Lincoln's Sparrow,Melospiza lincolnii,linspa
Little Blue Heron,Egretta caerulea,libher
Little Bunting,Emberiza pusilla,litbun
Little Curlew,Numenius minutus,litcur
Little Egret,Egretta garzetta,litegr
Little Gull,Hydrocoloeus minutus,litgul
Little Ringed Plover,Charadrius dubius,lirplo
Little Stint,Calidris minuta,litsti
Loggerhead Kingbird,Tyrannus caudifasciatus,logkin
Loggerhead Shrike,Lanius ludovicianus,logshr
Lonchura sp.,Lonchura sp.,lonchu1
Long-billed Curlew,Numenius americanus,lobcur
Long-billed Dowitcher,Limnodromus scolopaceus,lobdow
Long-billed Murrelet,Brachyramphus perdix,lobmur
Long-billed Thrasher,Toxostoma longirostre,lobthr
Long-eared Owl,Asio otus,loeowl
Long-legged Buzzard,Buteo rufinus,lolbuz1
longspur sp.,Calcarius/Rhynchophanes sp.,longsp1
Long-tailed Duck,Clangula hyemalis,lotduc
Long-tailed Jaeger,Stercorarius longicaudus,lotjae
Long-toed Stint,Calidris subminuta,lotsti
loon sp.,Gavia sp.,loon
Louisiana Waterthrush,Parkesia motacilla,louwat
lovebird sp.,Agapornis sp.,lovebi1
Lucifer Hummingbird,Calothorax lucifer,luchum
Lucy's Warbler,Leiothlypis luciae,lucwar
MacGillivray's Warbler,Geothlypis tolmiei,macwar
Magnificent Frigatebird,Fregata magnificens,magfri
Magnolia Warbler,Setophaga magnolia,magwar
Mallard,Anas platyrhynchos,mallar3
Mandarin Duck,Aix galericulata,manduc
Mangrove Cuckoo,Coccyzus minor,mancuc
Mangrove Swallow,Tachycineta albilinea,manswa1
Manx Shearwater,Puffinus puffinus,manshe
Marbled Godwit,Limosa fedoa,margod
Marbled Murrelet,Brachyramphus marmoratus,marmur
Mariana Swiftlet,Aerodramus bartschi,marswi
Marsh Sandpiper,Tringa stagnatilis,marsan
Marsh Wren,Cistothorus palustris,marwre
martin sp. (Progne sp.),Progne sp.,martin1
Masked Booby,Sula dactylatra,masboo
Masked Duck,Nomonyx dominicus,masduc
Masked Tityra,Tityra semifasciata,mastit1
Maui Alauahio,Paroreomyza montana,mauala
Maui Parrotbill,Pseudonestor xanthophrys,maupar
McCown's Longspur,Rhynchophanes mccownii,mcclon
McKay's Bunting,Plectrophenax hyperboreus,mckbun
Mealy Parrot,Amazona farinosa,meapar
Melanerpes sp.,Melanerpes sp.,melane1
merganser sp.,Mergellus/Lophodytes/Mergus sp.,mergan1
Merlin,Falco columbarius,merlin
Mew Gull,Larus canus,mewgul
Mexican Chickadee,Poecile sclateri,mexchi
Mexican Duck,Anas diazi,mexduc
Mexican Jay,Aphelocoma wollweberi,mexjay4
Mexican Violetear,Colibri thalassinus,grnvie1
Mexican Whip-poor-will,Antrostomus arizonae,souwpw1
Middendorff's Grasshopper-Warbler,Locustella ochotensis,migwar
Millerbird,Acrocephalus familiaris,miller
Mimidae sp.,Mimidae sp.,mimida1
Mississippi Kite,Ictinia mississippiensis,miskit
Mitred Parakeet,Psittacara mitratus,mitpar
Monk Parakeet,Myiopsitta monachus,monpar
Montezuma Quail,Cyrtonyx montezumae,monqua
Morelet's Seedeater,Sporophila morelleti,whcsee1
Mottled Duck,Anas fulvigula,motduc
Mottled Owl,Ciccaba virgata,motowl
Mottled Petrel,Pterodroma inexpectata,motpet
Mountain Bluebird,Sialia currucoides,moublu
Mountain Chickadee,Poecile gambeli,mouchi
Mountain Plover,Charadrius montanus,mouplo
Mountain Quail,Oreortyx pictus,mouqua
Mourning Dove,Zenaida macroura,moudov
Mourning Warbler,Geothlypis philadelphia,mouwar
Mugimaki Flycatcher,Ficedula mugimaki,mugfly
Murphy's Petrel,Pterodroma ultima,murpet
murrelet sp.,Brachyramphus/Synthliboramphus sp.,murrel
Muscovy Duck,Cairina moschata,musduc
Mute Swan,Cygnus olor,mutswa
Myiarchus sp.,Myiarchus sp.,myiarc
Myioborus sp.,Myioborus sp.,myiobo1
Nanday Parakeet,Aratinga nenday,bkhpar
Narcissus Flycatcher,Ficedula narcissina,narfly
Nashville Warbler,Leiothlypis ruficapilla,naswar
Naumann's Thrush,Turdus naumanni,dusthr1
Nazca Booby,Sula granti,nazboo1
Nelson's Sparrow,Ammospiza nelsoni,nstspa
Neotropic Cormorant,Phalacrocorax brasilianus,neocor
Newell's Shearwater,Puffinus newelli,towshe2
new world oriole sp.,Icterus sp.,oriole
new world quail sp.,Odontophoridae sp.,quail1
new world vulture sp.,Cathartidae sp.,vultur1
nighthawk sp.,Chordeiles sp.,nighth1
nightjar sp.,Caprimulgidae sp.,nightj1
Nihoa Finch,Telespiza ultima,nihfin
Northern Beardless-Tyrannulet,Camptostoma imberbe,nobtyr
Northern Bobwhite,Colinus virginianus,norbob
Northern Boobook,Ninox japonica,norboo1
Northern Cardinal,Cardinalis cardinalis,norcar
Northern Flicker,Colaptes auratus,norfli
Northern Fulmar,Fulmarus glacialis,norful
Northern Gannet,Morus bassanus,norgan
Northern Goshawk,Accipiter gentilis,norgos
Northern Harrier,Circus hudsonius,norhar2
Northern Hawk Owl,Surnia ulula,nohowl
Northern Jacana,Jacana spinosa,norjac
Northern Lapwing,Vanellus vanellus,norlap
Northern Mockingbird,Mimus polyglottos,normoc
Northern Parula,Setophaga americana,norpar
Northern Pintail,Anas acuta,norpin
Northern Pygmy-Owl,Glaucidium gnoma,nopowl
Northern Red Bishop,Euplectes franciscanus,orabis1
Northern Rough-winged Swallow,Stelgidopteryx serripennis,nrwswa
Northern Saw-whet Owl,Aegolius acadicus,nswowl
Northern Shoveler,Spatula clypeata,norsho
Northern Shrike,Lanius borealis,norshr4
Northern Waterthrush,Parkesia noveboracensis,norwat
Northern Wheatear,Oenanthe oenanthe,norwhe
Northwestern Crow,Corvus caurinus,norcro
nuthatch sp.,Sitta sp.,nuthat1
Nuttall's Woodpecker,Dryobates nuttallii,nutwoo
Nutting's Flycatcher,Myiarchus nuttingi,nutfly
Oahu Amakihi,Chlorodrepanis flava,oahama
Oahu Elepaio,Chasiempis ibidis,elepai4
Oak Titmouse,Baeolophus inornatus,oaktit
Oceanodroma sp.,Oceanodroma sp.,oceano1
Oceanodroma sp. (Band-rumped complex),Oceanodroma sp. (Band-rumped complex),oceano2
old world quail sp.,Synoicus/Coturnix sp.,coturn1
Olive-backed Pipit,Anthus hodgsoni,olbpip
Olive-sided Flycatcher,Contopus cooperi,olsfly
Olive Sparrow,Arremonops rufivirgatus,olispa
Olive Warbler,Peucedramus taeniatus,oliwar
Omao,Myadestes obscurus,omao
Orange-billed Nightingale-Thrush,Catharus aurantiirostris,obnthr1
Orange-cheeked Waxbill,Estrilda melpoda,orcwax
Orange-crowned Warbler,Leiothlypis celata,orcwar
Orange-winged Parrot,Amazona amazonica,orwpar
Orchard Oriole,Icterus spurius,orcori
Oriental Cuckoo,Cuculus optatus,oricuc2
Oriental Greenfinch,Chloris sinica,origre
Oriental Pratincole,Glareola maldivarum,oripra
Oriental Scops-Owl,Otus sunia,orsowl
Oriental Turtle-Dove,Streptopelia orientalis,ortdov
Osprey,Pandion haliaetus,osprey
other,other,
Ovenbird,Seiurus aurocapilla,ovenbi1
owl sp.,Strigiformes sp.,owl1
oystercatcher sp.,Haematopus sp.,oyster1
Pacific Golden-Plover,Pluvialis fulva,pagplo
Pacific Loon,Gavia pacifica,pacloo
Pacific-slope Flycatcher,Empidonax difficilis,pasfly
Pacific Swift,Apus pacificus,fotswi
Pacific Wren,Troglodytes pacificus,pacwre1
Paint-billed Crake,Mustelirallus erythrops,pabcra
Painted Bunting,Passerina ciris,paibun
Painted Redstart,Myioborus pictus,paired
Palila,Loxioides bailleui,palila
Pallas's Bunting,Emberiza pallasi,palbun
Pallas's Grasshopper-Warbler,Locustella certhiola,pagwar1
Pallas's Gull,Ichthyaetus ichthyaetus,gbhgul2
Pallas's Leaf Warbler,Phylloscopus proregulus,palwar5
Pallas's Rosefinch,Carpodacus roseus,palros2
Palm Warbler,Setophaga palmarum,palwar
Parakeet Auklet,Aethia psittacula,parauk
parakeet sp.,Psittaciformes sp. (parakeet sp.),parake
Parasitic Jaeger,Stercorarius parasiticus,parjae
Parid sp.,Paridae sp.,parid1
Parkinson's Petrel,Procellaria parkinsoni,parpet1
parrot sp.,Psittaciformes sp. (parrot sp.),parrot
Passerina sp.,Passerina sp.,buntin
passerine sp.,Passeriformes sp.,passer1
Passer sp.,Passer sp.,passer2
Patagioenas sp.,Patagioenas sp.,patagi1
Pechora Pipit,Anthus gustavi,pecpip
Pectoral Sandpiper,Calidris melanotos,pecsan
peep sp.,Calidris sp. (peep sp.),calidr
Pelagic Cormorant,Phalacrocorax pelagicus,pelcor
pelican sp.,Pelecanus sp.,pelica1
Peregrine Falcon,Falco peregrinus,perfal
Petrochelidon sp.,Petrochelidon sp.,petroc1
Peucaea sp.,Peucaea sp.,peucae1
pewee sp. (Contopus sp.),Contopus sp.,pewee1
Phainopepla,Phainopepla nitens,phaino
phalarope sp.,Phalaropus sp.,phalar
pheasant sp.,Phasianinae sp.,pheasa1
Pheucticus sp.,Pheucticus sp.,pheuct1
Philadelphia Vireo,Vireo philadelphicus,phivir
